index,date,EPS,Ticker
0,2024-01-28,1.21,NVDA
1,2023-01-29,0.18,NVDA
2,2022-01-30,0.39,NVDA
3,2021-01-31,0.18,NVDA
4,2020-01-26,0.12,NVDA
0,2023-06-30,9.72,MSFT
1,2022-06-30,9.7,MSFT
2,2021-06-30,8.12,MSFT
3,2020-06-30,5.82,MSFT
4,2019-06-30,5.11,MSFT
0,2023-12-31,5.84,GOOGL
1,2022-12-31,4.59,GOOGL
2,2021-12-31,5.69,GOOGL
3,2020-12-31,2.96,GOOGL
4,2019-12-31,2.48,GOOGL
0,2023-12-31,2.95,AMZN
1,2022-12-31,-0.27,AMZN
2,2021-12-31,3.3,AMZN
3,2020-12-31,2.13,AMZN
4,2019-12-31,1.17,AMZN
0,2023-09-30,6.16,AAPL
1,2022-09-24,6.15,AAPL
2,2021-09-25,5.67,AAPL
3,2020-09-26,3.31,AAPL
4,2019-09-28,2.99,AAPL
0,2023-12-01,11.93,ADBE
1,2022-12-02,10.13,ADBE
2,2021-12-03,10.1,ADBE
3,2020-11-27,10.94,ADBE
4,2019-11-29,6.07,ADBE
0,2024-01-31,4.25,CRM
1,2023-01-31,0.21,CRM
2,2022-01-31,1.51,CRM
3,2021-01-31,4.48,CRM
4,2020-01-31,0.15,CRM
0,2023-07-29,3.08,CSCO
1,2022-07-30,2.83,CSCO
2,2021-07-31,2.51,CSCO
3,2020-07-25,2.65,CSCO
4,2019-07-27,2.63,CSCO
0,2023-12-30,0.4,INTC
1,2022-12-31,1.95,INTC
2,2021-12-25,4.89,INTC
3,2020-12-26,4.98,INTC
4,2019-12-28,4.77,INTC
0,2023-10-31,3.29,HPQ
1,2022-10-31,3.02,HPQ
2,2021-10-31,5.41,HPQ
3,2020-10-31,2.01,HPQ
4,2019-10-31,2.08,HPQ
0,2023-12-31,12.25,NFLX
1,2022-12-31,10.1,NFLX
2,2021-12-31,11.55,NFLX
3,2020-12-31,6.26,NFLX
4,2019-12-31,4.26,NFLX
0,2023-09-24,6.47,QCOM
1,2022-09-25,11.52,QCOM
2,2021-09-26,8,QCOM
3,2020-09-27,4.58,QCOM
4,2019-09-29,3.62,QCOM
0,2023-12-31,7.13,TXN
1,2022-12-31,9.51,TXN
2,2021-12-31,8.38,TXN
3,2020-12-31,6.05,TXN
4,2019-12-31,5.33,TXN
0,2023-12-31,8.48,NOW
1,2022-12-31,1.61,NOW
2,2021-12-31,1.16,NOW
3,2020-12-31,0.61,NOW
4,2019-12-31,3.36,NOW
0,2023-12-31,8.23,IBM
1,2022-12-31,1.82,IBM
2,2021-12-31,6.41,IBM
3,2020-12-31,6.28,IBM
4,2019-12-31,10.63,IBM
0,2023-12-31,-1.59,VERI
1,2022-12-31,-0.7,VERI
2,2021-12-31,-2.12,VERI
3,2020-12-31,-1.73,VERI
4,2019-12-31,-2.85,VERI
0,2024-05-31,3.81,ORCL
1,2023-05-31,3.15,ORCL
2,2022-05-31,2.49,ORCL
3,2021-05-31,4.67,ORCL
4,2020-05-31,3.16,ORCL
0,2023-12-30,0.53,AMD
1,2022-12-31,0.85,AMD
2,2021-12-25,2.61,AMD
3,2020-12-26,2.1,AMD
4,2019-12-28,0.3,AMD
0,2023-08-31,-5.34,MU
1,2022-09-01,7.81,MU
2,2021-09-02,5.23,MU
3,2020-09-03,2.42,MU
4,2019-08-29,5.67,MU
0,2023-12-31,10.83,NXPI
1,2022-12-31,10.64,NXPI
2,2021-12-31,6.91,NXPI
3,2020-12-31,0.3,NXPI
4,2019-12-31,0.86,NXPI
0,2023-10-28,6.6,ADI
1,2022-10-29,5.29,ADI
2,2021-10-30,3.5,ADI
3,2020-10-31,3.31,ADI
4,2019-11-02,3.69,ADI
0,2023-10-29,8.16,AMAT
1,2022-10-30,7.49,AMAT
2,2021-10-31,6.47,AMAT
3,2020-10-25,3.95,AMAT
4,2019-10-27,2.89,AMAT
0,2023-06-25,33.3,LRCX
1,2022-06-26,32.92,LRCX
2,2021-06-27,27.22,LRCX
3,2020-06-28,15.55,LRCX
4,2019-06-30,14.37,LRCX
0,2024-02-03,-1.08,MRVL
1,2023-01-28,-0.19,MRVL
2,2022-01-29,-0.53,MRVL
3,2021-01-31,-0.41,MRVL
4,2020-01-31,2.38,MRVL
0,2023-10-29,33.93,AVGO
1,2022-10-30,27.44,AVGO
2,2021-10-31,15.7,AVGO
3,2020-11-01,6.62,AVGO
4,2019-11-03,6.77,AVGO
0,2023-12-31,5.07,ON
1,2022-12-31,4.39,ON
