Ticker,bookValuePerShare
NVDA,1.998
MSFT,34.058
GOOGL,23.653
AMZN,20.827
AAPL,4.837
ADBE,33.058
CRM,61.465
CSCO,11.354
INTC,24.894
HPQ,-0.936
NFLX,49.576
QCOM,21.886
TXN,18.663
NOW,39.473
IBM,25.322
VERI,0.395
ORCL,3.159
AMD,34.733
MU,39.63
NXPI,34.475
ADI,71.035
AMAT,21.98
LRCX,61.361
MRVL,16.729
AVGO,59.221
ON,18.896
ILMN,36.063
REGN,250.149
VRTX,71.804
AMGN,9.362
BIIB,104.485
GILD,14.076
MRNA,33.465
CRSP,24.564
NVAX,-6.177
BMRN,26.736
JPM,106.815
BAC,33.705
WFC,46.359
C,99.078
GS,314.474
MS,55.604
USB,31.248
PNC,113.296
TFC,38.972
COF,138.605
EA,28.244
TTWO,33.184
NTES,198.146
CCOEY,466.434
VST,9.119
NRG,12.716
SO,29.193
AEP,48.961
EIX,35.136
DUK,61.644
NEE,23.675
EXC,26.06
ETR,67.793
ED,62.471
BA,-27.73
CAT,36.051
MMM,8.794
HON,25.268
ITW,10.121
PH,90.172
SWK,57.694
CMI,66.289
EMR,36.538
DE,82.317
